text,annotation_84,annotation_85,annotation_86,annotation_87
#SuspendOnlineClassesNOW,anti-mitigation,unclear,anti-mitigation,anti-mitigation
Release Safoora Zargar,unclear,unclear,unclear,unclear
Protect Skateboard Retailers and Skateboarding As Essential Transportation During CoViD-19,unclear,pro-mitigation,unclear,unclear
Cancellation of Semester End Exams (Goa University),unclear,pro-mitigation,pro-mitigation,pro-mitigation
Rescue Australians Stranded in Peru due to Coronavirus,pro-mitigation,anti-mitigation,pro-mitigation,pro-mitigation
Change High School Hockey in New Jersey To a Spring Sport,unclear,unclear,pro-mitigation,unclear
Stop Greyhound Bus Lines from NYC,pro-mitigation,unclear,pro-mitigation,pro-mitigation
"Separate Quarantine Wards, Med Check-ups for Women & Children in Jail",unclear,pro-mitigation,pro-mitigation,pro-mitigation
Pass all the CFISD students for the spring semester,pro-mitigation,unclear,pro-mitigation,unclear
7-POINT PUBLIC HEALTH DEMANDS: COVID-19  ACTION STEPS,pro-mitigation,pro-mitigation,unclear,unclear
Minnesota Allow for the Operation of Guided Fishing and Charter Boat Captains,pro-mitigation,unclear,unclear,anti-mitigation
"Suspend ALL rent, mortgage, and utility payments during the COVID-19 pandemic",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
SAVE our Hokitika SPCA animal shelter from closure,pro-mitigation,anti-mitigation,unclear,unclear
The University of Alberta shouldn't charge full tuition for online classes!,anti-mitigation,unclear,pro-mitigation,unclear
Hobart City Council should allow health workers to park for free during COVID-19 crisis.,unclear,pro-mitigation,pro-mitigation,pro-mitigation
"Reclassification of Micro Gyms, Pilates, and Yoga Studios in St Louis",pro-mitigation,unclear,unclear,anti-mitigation
COVID support for those who went self-employed in last year,anti-mitigation,pro-mitigation,pro-mitigation,unclear
Protect Inmates And Correctional Facility Staff Against Covid,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
UPenn petition to reduce/forgive/rebate spring 2020 tuition due to COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"""Withdraw EIA 2020 Draft""",unclear,unclear,unclear,unclear
Alberni Grocers: Seniors-Only Hour Will Save Lives,unclear,unclear,unclear,unclear
BPS  Covid Safety Metrics,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Joe Biden Must Step Down,,unclear,pro-mitigation,unclear
North Carolina COVID-19 Housing Relief,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Guru Gobind Singh Indraprastha University FINAL YEAR EXAMS TO BE CONDUCTED ONLINE.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Stop Livermore Airport Expansion that includes new FBO & B737s. Reduce small plane noise.,unclear,unclear,unclear,unclear
Close USF campus due to the COVID-19 (coronavirus),pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Rakyat Dan LPP-TIPIKOR RI Mendesak Pemerintah RI Lakukan Kesepakatan Dengan UN-SWISSINDO,unclear,unclear,unclear,unclear
We need a Break from online classes and exams!,anti-mitigation,unclear,unclear,anti-mitigation
We want the Ministry of Education to re-consider the decision for school reopening,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Help Sac Library Staff Get Paid During Covid-19 Closures,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
#FREE Donte Epps,unclear,unclear,unclear,unclear
Запрет на перекладку плитки в 2020 году в г. Москве,unclear,unclear,unclear,unclear
Conduct Final Examination for students in Online Mode to prevent risk of Covid Infection,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Tests massifs du Covid-19 par PCR et traitement hydroxychloroquine et azithromycine !,pro-mitigation,pro-mitigation,unclear,unclear
Close School I dont want covid 19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Reschedule NCAA Wrestling Tournament,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Change to Durham University Assesment in light of COVID-19 Pandemic.,pro-mitigation,pro-mitigation,unclear,pro-mitigation
To allow Malaysians with valid work pass to travel in and out of singapore,pro-mitigation,unclear,pro-mitigation,anti-mitigation
Hair Salons to open in Marion County (Indiana) following social distancing rules,pro-mitigation,pro-mitigation,anti-mitigation,unclear
La entrada de las Doulas al proceso de parto junto al acompañante de la paciente.,unclear,unclear,unclear,unclear
BC Health | Mandatory Mask Usage Across BC Shared Public Spaces,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Postpone CBSE Board Exams,pro-mitigation,unclear,pro-mitigation,unclear
Close Pinkerton Due To Covid-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Allow federal inmates in the bureau of prisons access to tablets during Covid-19 pandemic!,pro-mitigation,pro-mitigation,pro-mitigation,unclear
Start international flights in India,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Petition: to award general promotion to students in colleges associated with BU Bhopal.,unclear,unclear,unclear,unclear
Stop Missouri's DESE From Spending CARES Act Funding on a Standardized Test,pro-mitigation,unclear,anti-mitigation,unclear
Grant work from home to IT employees around India,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Open Adult Slowpitch Softball in California,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
"Initiative to combat ""COVID 19"" through Public Awareness",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
