text,annotation_106,annotation_107,annotation_108,annotation_101
CARTA PELOS POBRES!,unclear,pro-mitigation,unclear,unclear
Target: Protect your team and community as Covid-19 surges on.,pro-mitigation,pro-mitigation,pro-mitigation,unclear
Restrict Maximum Monthy BCHydro Charges During Covid-19 Outbreak,pro-mitigation,pro-mitigation,anti-mitigation,unclear
Ensure Sir Richard Branson sells private assets before being bailed out by the government.,unclear,pro-mitigation,unclear,anti-mitigation
Cancel Lucknow University Exams! Mass promotion of students is an option.,pro-mitigation,unclear,unclear,pro-mitigation
KCL Has Coronavirus Case: Petition to Have Online Classes by March 9th,pro-mitigation,unclear,unclear,unclear
RI State schools to STOP charging campus fees when classes are online.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Texas State: Cancel all online class fees.,pro-mitigation,anti-mitigation,unclear,pro-mitigation
Vermeiden von Pandemien - Schließung chinesischer Tiermärkte,anti-mitigation,anti-mitigation,unclear,anti-mitigation
Help SJSU Students Cancel Their Lease at The Grad in the Middle of COVID-19 Outbreak!,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Suspend mortgage and rent payments during Covid-19 crisis in New Jersey,pro-mitigation,anti-mitigation,pro-mitigation,unclear
COVID-19 Response to Support Families with Disabled Children,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Save Roma St Parklands,pro-mitigation,anti-mitigation,unclear,pro-mitigation
Guarantee UEA Final Year Students A Graduation Ceremony,anti-mitigation,pro-mitigation,anti-mitigation,pro-mitigation
Uber’s “ Clean Air Fee” to be paid to Uber Drivers as Emergency Situation ( COVID-19 ),pro-mitigation,unclear,unclear,unclear
End Brookings City Council COVID Policies,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
Make Google Education Services available for Iran,pro-mitigation,unclear,unclear,unclear
Queens Park Allotment Covid-19,pro-mitigation,pro-mitigation,unclear,unclear
Close UO Eugene Campus due to COVID-19 Death in Washington and New Cases,pro-mitigation,anti-mitigation,pro-mitigation,unclear
Life-saving measures to protect Louisiana Prisoners from COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,unclear
Require Face Masks in Idaho Shared Public Spaces,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Give Stanford Graduate Students Housing Flexibility w/COVID-19 Concerns,pro-mitigation,anti-mitigation,pro-mitigation,unclear
Allow International Students to stay in the U​.​S. even with institutions going online,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Close schools over coronovirus,pro-mitigation,pro-mitigation,pro-mitigation,unclear
Tax relief for key worker during Covid-19 crisis,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Grant all illegal migrants leave to remain in Ireland.,unclear,anti-mitigation,unclear,pro-mitigation
Allow Dorset Council powers to limit tourists and protect our local NHS from a second wave,pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
Bring back the six sports impacted by the St. Edward's University Athletics budget cuts,anti-mitigation,pro-mitigation,unclear,unclear
Break due to the Pandemic,pro-mitigation,unclear,pro-mitigation,unclear
Don’t forget Ltd company business owners during COVID-19,anti-mitigation,pro-mitigation,unclear,unclear
Provisional licenses for eligible  teens in MA who are affected by COVID-19 shut down.,pro-mitigation,anti-mitigation,pro-mitigation,unclear
EUA Approval From FDA For Rapid COVID-19 Tests,pro-mitigation,anti-mitigation,pro-mitigation,unclear
STOP oil drilling in The Bahamas,unclear,anti-mitigation,unclear,anti-mitigation
Delay reopening of Arkansas Public Schools because of COVID-19. Protect our children!,pro-mitigation,unclear,pro-mitigation,pro-mitigation
LockdownPakistan- economic losses now or disastrous economic and human losses later?,unclear,anti-mitigation,pro-mitigation,anti-mitigation
Protect pregnant healthcare workers in the UK from COVID-19,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Save Altitude Trampoline Park in Spokane Valley,anti-mitigation,anti-mitigation,unclear,unclear
Hazard Pay for Security Officers as Fontliners during COVID-19 Pandemic,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Heritage Golf & Country Club - don’t kill beloved local kangas!,unclear,pro-mitigation,unclear,pro-mitigation
Covid-19 shouldn't stop academic Justice,unclear,anti-mitigation,unclear,unclear
Tell Jim Justice to lock down West Virginia,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
GDC & CoreCivic Prisons Covid Release Must Happen Immediately: Save Our Loved Ones!!!,pro-mitigation,anti-mitigation,pro-mitigation,anti-mitigation
Bring back some flight services to Queenstown,anti-mitigation,anti-mitigation,unclear,unclear
Governor Raimondo: Allocate federal COVID-19 relief funds to save RI small businesses NOW.,pro-mitigation,anti-mitigation,pro-mitigation,pro-mitigation
CANCELLATION OF DU EXAMINATIONS,pro-mitigation,unclear,pro-mitigation,pro-mitigation
"Covid-19 Support for Entrepreneurs, Consultants & Gig Economy & Part-time Workers",pro-mitigation,anti-mitigation,pro-mitigation,unclear
Open Smaller Gyms in Ontario,anti-mitigation,pro-mitigation,anti-mitigation,unclear
Les 10 réclamations urgentes pour lutter plus efficacement contre le COVID-19 en Belgique,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Let 27 North Residents Cancel Their Lease Contracts Amid COVID-19,pro-mitigation,anti-mitigation,unclear,anti-mitigation
Faith in our ADOM Schools,unclear,anti-mitigation,unclear,unclear
CoronaVirus - Coventry University deadline extension,pro-mitigation,pro-mitigation,unclear,unclear
To get the Summit Athlete Gift-Bags,unclear,anti-mitigation,unclear,unclear
"Cheerleading,  Dance and amateur sports clubs to be included in Covid 19 Announcements",pro-mitigation,anti-mitigation,pro-mitigation,unclear
University of San Diego changes courses to online due to the spread of COVID-19,pro-mitigation,anti-mitigation,pro-mitigation,unclear
Father is dying from Covid19 & Plasma is his only hope and hospital won’t give it to him!,anti-mitigation,anti-mitigation,unclear,anti-mitigation
Stop companies Profiteering from £120 Private Covid-19 Testing!,pro-mitigation,pro-mitigation,unclear,anti-mitigation
Suspend Mortgage & Rent Payments in Maryland During COVID-19,pro-mitigation,anti-mitigation,pro-mitigation,unclear
