text,annotation_73,annotation_77,annotation_78,annotation_79
Pay PetSmart Employees While on Leave,unclear,pro-mitigation,anti-mitigation,anti-mitigation
Waive off School Fee at Indian Schools in Oman due to COVID-19,anti-mitigation,pro-mitigation,unclear,unclear
The Iranian people suffering from Coronavirus; Lift All Medical Sanctions Now,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Arizona Suspend mortgage/rent and utility bills during mandatory Coronavirus shut down,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Save Services for Those with Developmental Disabilities During Covid-19,pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
Reverse Postponement of Winter & Spring Sports,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Tell west Virginia representatives to not make hazelton/gilmer prison a quarantine site,anti-mitigation,anti-mitigation,pro-mitigation,anti-mitigation
Ask Gov. Polis to announce a COVID-19 Relief Package for Food & Bev,anti-mitigation,pro-mitigation,unclear,unclear
Reform of the Dental Council of New Zealand,unclear,unclear,unclear,unclear
Corona-Schutz für Obdachlose - sofortige Unterbringung benötigt!,unclear,unclear,unclear,unclear
St. James Town Urgently Needs Space for Food Security,unclear,unclear,unclear,unclear
GOV. BROWN: OPEN POOLS IN OREGON TO COMPETITIVE SWIMMERS IN PHASE 1,anti-mitigation,anti-mitigation,unclear,pro-mitigation
Appeal to the President of India on issues thrown up during lockdown,unclear,anti-mitigation,unclear,anti-mitigation
Covid-19 Youth Brigades exploited,anti-mitigation,unclear,unclear,anti-mitigation
Protection from COVID-19,unclear,pro-mitigation,unclear,anti-mitigation
Please facilitate 14-days-self-quarantine of Iranian new immigrants,pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
Save Japanese Restaurants from Bankruptcy During COVID-19/防止日本餐廳業界破產倒閉之對策/일본 레스토랑 도산 방지 대책,unclear,anti-mitigation,unclear,pro-mitigation
GYMS VS. THE STATE OF ALABAMA,unclear,anti-mitigation,unclear,pro-mitigation
Temporary Moratorium on Evictions Due to COVID-19 Financial Hardships,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Bring back Maldivians stranded in Malaysia due to Covid 19,anti-mitigation,pro-mitigation,anti-mitigation,pro-mitigation
Allow spa and leisure facilities to demonstrate that they can reopen safely.,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
"In wake of COVID-19 slowdown, guarantee the American people a Universal Basic Income",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Freeze rents & mortgages for the duration of Coronavirus,anti-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Appeal to reduce university tuition in JA now that classes are online amidst COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,unclear
Postpone UCLA Class of 2020 Commencement,unclear,pro-mitigation,unclear,anti-mitigation
Temporary online classes for HELP students due to covid-19,pro-mitigation,pro-mitigation,pro-mitigation,unclear
"Father's Day Gift: Sebastien, Rosena and Amaika Arrived Safely with YOUR Help!",anti-mitigation,unclear,unclear,unclear
Change USF Class Grading to Mandatory Pass/Fail for Spring 2020  Due to COVID-19,anti-mitigation,pro-mitigation,unclear,unclear
Force Dillard’s to close their Doors,pro-mitigation,pro-mitigation,unclear,anti-mitigation
Make small grants/funding available for Self Employed & Freelancers during COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,unclear
Duval County Beach Access (COVID-19),pro-mitigation,unclear,unclear,anti-mitigation
#letthedjsplay,unclear,unclear,unclear,unclear
Stop the demolition of the Monument of Anti-Chico Dams Struggle Heroes,pro-mitigation,unclear,pro-mitigation,unclear
PASS/FAIL Grading Option for Spring 2020 Semester at the University of Miami,unclear,unclear,unclear,unclear
Australian Medical Schools Must Consider an Opt In/Opt Out System for 2020 GPA Results,unclear,pro-mitigation,pro-mitigation,unclear
Give Oregon Kids What They Need to Learn to Read!,pro-mitigation,unclear,unclear,unclear
Eat Healthy. Avoid pork and scavenger meat - it makes you sick.,pro-mitigation,unclear,anti-mitigation,unclear
NO FAILING @ UCR,unclear,unclear,unclear,unclear
Freeze Rent for All NYC Residents,unclear,pro-mitigation,unclear,unclear
Shut down schools in VVSD 365u due to COVID-19,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Make 0% Interest Student Loans Permanent,unclear,unclear,unclear,unclear
Postponement of GATE 2021 exam due to pandemic situations,pro-mitigation,pro-mitigation,unclear,anti-mitigation
Scotland Back in the EU,unclear,pro-mitigation,pro-mitigation,unclear
Bryn Mawr College COVID-19 Credit/No Credit Spring Semester,unclear,unclear,unclear,anti-mitigation
$2000/month to every American #moneyforthepeople #covid19,pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
Close all CCPS schools to limit spread of Coronavirus,pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
"Save Our Future Teachers - Support, & Share",unclear,unclear,unclear,unclear
"Extenuating Circumstances for international students, University of Surrey",unclear,unclear,unclear,pro-mitigation
Petition for holidays in Colleges in concern of COVID-19,unclear,pro-mitigation,pro-mitigation,anti-mitigation
Atlanta Spa Shooting of Asian Women is a Hate Crime,unclear,unclear,unclear,unclear
Help International Students Stay at The University of Texas at Austin!,pro-mitigation,anti-mitigation,pro-mitigation,unclear
Require Vaccination Options for WA Teachers & Students before returning to school.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Null and void the Premier League,unclear,anti-mitigation,unclear,pro-mitigation
"Smithfield has case of COVID-19 in facility in Sioux Falls SD, should shut down for 2 week",pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
Audit PMCARES FUND,unclear,unclear,unclear,unclear
STOP the Construction of a New Hog Confinement in Poweshiek! Save Our Air and Water!,pro-mitigation,pro-mitigation,unclear,unclear
Safe Staffing during COVID at Emanate,unclear,pro-mitigation,unclear,anti-mitigation
Stop Exposing Sanitation Workers through Open Bin Garbage Collection,pro-mitigation,pro-mitigation,anti-mitigation,anti-mitigation
Proteggere Italia e Svizzera dal COVID-19 | Protect Italy and Switzerland from COVID-19,unclear,pro-mitigation,unclear,anti-mitigation
COVID-19 crisis -more Australian music to be played on Australian radio.,pro-mitigation,unclear,unclear,unclear
Shutdown PartyTown Guelph to prevent the spread of COVID-19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Government of Ghana Must Implement the National Health Laboratory Policy,unclear,unclear,pro-mitigation,anti-mitigation
Close Holland and Barrett Stores. (Covid-19 Crisis),pro-mitigation,pro-mitigation,unclear,anti-mitigation
Save the saviors,unclear,unclear,unclear,unclear
Access to Covid-19 swabbing for symptomatic NHS and frontline emergency services,pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
"Help St John become fully funded, it's a travesty they aren't already!",unclear,unclear,unclear,unclear
(NTU) - Viewing of results before deciding to S/U,anti-mitigation,pro-mitigation,unclear,unclear
Make masks mandatory in South Carolina,pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
Require masks in grocery stores to fight COVID-19,pro-mitigation,pro-mitigation,unclear,anti-mitigation
Protect our Healthcare workers during the COVID-19 War!,pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
Don’t force students to physically attend school on May 16 in New Jersey.,anti-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
"AirAsia Should Refund Its’ Customers with Cash Refund, or at least Provide The Options",pro-mitigation,pro-mitigation,pro-mitigation,unclear
Compensate hospital locums and locum GPs from Covid 19 self-isolation income loss,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Dominos Employees Demand COVID-19 Hazard Pay,anti-mitigation,pro-mitigation,anti-mitigation,unclear
¡Medidas MÁS SERIAS para enfrentar el COVID-19 en Miami!,pro-mitigation,unclear,unclear,anti-mitigation
Cancellation of ib exams for generations 2020 2021,unclear,pro-mitigation,anti-mitigation,anti-mitigation
Keep kids in extra curricular activities in ND.,anti-mitigation,anti-mitigation,unclear,pro-mitigation
Keep Doulas in the Hospital Supporting Moms during COVID-19,pro-mitigation,anti-mitigation,anti-mitigation,pro-mitigation
COVID-19:Provide Work From Home to all employees before it's too LATE. Health is important,pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
Close Beaverton School District COVID 19,pro-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
Hazard Pay and Family Leave for Walgreens Employees,unclear,pro-mitigation,unclear,anti-mitigation
Protect the arts from economic devastation following COVID-19 closures,anti-mitigation,unclear,pro-mitigation,pro-mitigation
Africa WILL NOT be the testing ground for the Covid-19 vaccine,anti-mitigation,anti-mitigation,unclear,pro-mitigation
"Support fair pay for NZ's aged care nurses - PETITION CLOSED WE REACHED 15,000! THANKS!",,anti-mitigation,anti-mitigation,unclear
BRING BACK THE OLD FLAMIN' HOT LAYS FORMULA,unclear,anti-mitigation,unclear,unclear
ICE: Do not deport International Students,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Stop Evictions in Whittier - COVID-19,pro-mitigation,anti-mitigation,unclear,pro-mitigation
Get British performers home from cruise ships #GetBenhome #Covid 19,anti-mitigation,pro-mitigation,unclear,pro-mitigation
RESCHEDULING OF IIE GRADUATION,unclear,pro-mitigation,unclear,anti-mitigation
"Allow restaurants to offer outdoor ""Curbside Plus"" dining",anti-mitigation,pro-mitigation,anti-mitigation,pro-mitigation
Doug Ford: Reinstate the Covid benefit for all ODSP recipients,pro-mitigation,pro-mitigation,unclear,pro-mitigation
Save weddings & events! Create an Advisory Group to consult on safely reopening Ohio,anti-mitigation,anti-mitigation,unclear,pro-mitigation
Elderly Woman Battling Breast Cancer Needs Urgent Commutation of Sentence,anti-mitigation,anti-mitigation,pro-mitigation,unclear
Suspend Online Classes or Refund Our Money,anti-mitigation,anti-mitigation,unclear,anti-mitigation
Sailors need lifesavers too!!! Wake up world!!!,unclear,unclear,pro-mitigation,unclear
Loan forgiveness for nurses actively working during Covid -19,pro-mitigation,pro-mitigation,anti-mitigation,unclear
"DEAR PRESIDENT UHURU, WE CAN'T BREATH!",unclear,anti-mitigation,unclear,pro-mitigation
Pay the Student Nurses and Midwives,unclear,unclear,pro-mitigation,unclear
Help International Students return to Australia before 2021!,unclear,unclear,unclear,pro-mitigation
Relaxation in EMI due to COVID-19. Appeal to Govt. of India for 6 months relief.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
A second stimulus check for Americans!,unclear,unclear,pro-mitigation,pro-mitigation
Shut Down Alabama,pro-mitigation,unclear,unclear,anti-mitigation
#FlattenTheCurve: Order Stricter Implementation of “Work From Home” in Companies,,pro-mitigation,unclear,anti-mitigation
Save Tennessee’s Zoos and Aquariums,pro-mitigation,anti-mitigation,unclear,pro-mitigation
