text,annotation_97,annotation_101,annotation_102,annotation_14
Revoke retroactive fees,unclear,unclear,unclear,pro-mitigation
#cancelboardexams,unclear,anti-mitigation,unclear,pro-mitigation
UBC Partial Tuition Refund,unclear,unclear,unclear,unclear
Modify SIT's Exam and Grading Policy due to COVID-19,pro-mitigation,pro-mitigation,unclear,pro-mitigation
South Dakota State University pass or fail students -COVID-19,unclear,unclear,unclear,unclear
Tim Walz: Support to-go wine & beer sales for the restaurant industry during COID-19,pro-mitigation,pro-mitigation,anti-mitigation,pro-mitigation
Demanding permanent employment for contract workers in M'sia Gov! #WeAreFrontliners,unclear,pro-mitigation,unclear,pro-mitigation
Rescind the Acceptance of racist Drew Dollar into LSU,unclear,anti-mitigation,unclear,unclear
Postpone All Entrances and ExamsDuring Current Situation of Covid-19.,pro-mitigation,unclear,pro-mitigation,pro-mitigation
We Texans demand that Ted Cruz resign.,unclear,unclear,unclear,unclear
LET US IN! Adjust The Nursing Home Visitation Policy due to Covid 19,anti-mitigation,unclear,anti-mitigation,anti-mitigation
Cancellation of STPM Semester 2 examination 2020,unclear,pro-mitigation,unclear,pro-mitigation
Immediate & Unconditional Release of Jawar Mohammed & All Oromo Political Prisoners,unclear,pro-mitigation,unclear,unclear
Close non essential warehouses Covid-19,pro-mitigation,anti-mitigation,pro-mitigation,pro-mitigation
Revise the Academic Calendar & Suspend the Online Classes throughout COVID-19 crisis,anti-mitigation,anti-mitigation,unclear,anti-mitigation
ASHA dues should be WAIVED for 2020!,unclear,unclear,unclear,pro-mitigation
COVID-19  Dance Studio Industry Economic Hardship,unclear,unclear,unclear,unclear
Cancellation of Lebanese Official Exams for 2020/إلغاء الإمتحانات الرسمية اللبنانية ل-٢٠٢٠,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Hazard pay for essential employees working with the public during the covid-19 pandemic.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Calling for Disability- Inclusive Response to Covid-19 Pandemic in the Philippines,anti-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Open the 2020-2021 School Year Traditionally in Shasta County,unclear,unclear,unclear,anti-mitigation
Save the Enhanced Nursery School Operating Grant!! Say NO to Proposed Amendment to Regs!,unclear,anti-mitigation,unclear,unclear
"20 per studio classroom, rather than 20 per premises - if deemed safe.",pro-mitigation,unclear,unclear,unclear
VicRoads refund rego and TAC charged during covid restrictions.,unclear,unclear,pro-mitigation,pro-mitigation
"Grant emergency Bond due to the global pandemic of COVID-19, for Qamar Williams / Q money",unclear,unclear,pro-mitigation,unclear
Create a Covid-19 relief package for informal waste pickers of Delhi,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Language Education in the Time of COVID-19,unclear,unclear,unclear,unclear
Take proactive action to mitigate COVID19 in Ethiopia,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Stellenbosch University to Implement Online Examinations,pro-mitigation,unclear,pro-mitigation,pro-mitigation
No Schools Till Corona Ends...,unclear,unclear,unclear,pro-mitigation
Recreation Boating During Stay At Home,unclear,unclear,unclear,anti-mitigation
Chancellor Carranza - Don't Take Counselors Away From Students in the South Bronx,unclear,anti-mitigation,unclear,unclear
Ensure Education. STOP HIKE in School Fee for 2020-2021 #COVID-19,pro-mitigation,anti-mitigation,unclear,pro-mitigation
Cancel 10th Gujarat Board Exams,unclear,unclear,unclear,pro-mitigation
Cancellation of all University assignments and exams due to instability caused by COVID-19,anti-mitigation,unclear,pro-mitigation,pro-mitigation
NEU- CLOSE CAMPUS AND START ONLINE TEACHING,pro-mitigation,anti-mitigation,unclear,unclear
NOW reinstate all facial treatments from behind and to the side of the face.,unclear,pro-mitigation,unclear,unclear
UWC must call off university!,unclear,anti-mitigation,unclear,unclear
Cancel Okanagan college  Classes due to COVID-19,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Request To Have the Option to Make WFU Spring 2020 Classes Pass/Fail Due to COVID-19,unclear,unclear,pro-mitigation,unclear
Stop tourism to the Isle of Wight during the Covid 19 outbreak,pro-mitigation,unclear,pro-mitigation,pro-mitigation
No profit on Covid-19!,unclear,unclear,anti-mitigation,pro-mitigation
Cancel rent payments for international students during Covid 19,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Tuition and Fee Refund for Campus Services Not Provided Due to COVID-19,pro-mitigation,pro-mitigation,unclear,pro-mitigation
SE PODRÍAN HABER EVITADO LAS MUERTES POR COVID-19 EN TODO EL MUNDO,unclear,unclear,unclear,pro-mitigation
Support More Testing for Covid,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Make Regis University close its doors now.,unclear,pro-mitigation,unclear,unclear
Post Natal Massage Service as Essential Services,unclear,pro-mitigation,unclear,unclear
Cancellation of RTU Final Semester Examination,unclear,unclear,unclear,pro-mitigation
HPU MUST Allow Housing/Dining Refunds if COVID-19 Impacts Fall 2020 Semester,pro-mitigation,,pro-mitigation,pro-mitigation
UK Legalisation & Taxation of Recreational Cannabis to help fund COVID-19 aftermath,unclear,pro-mitigation,pro-mitigation,pro-mitigation
COVID-19 - Free streaming services for quarantine,pro-mitigation,unclear,pro-mitigation,pro-mitigation
Help stop the deportation of the Ferreira family during a global pandemic.,pro-mitigation,anti-mitigation,pro-mitigation,pro-mitigation
Make masks mandatory for public settings in the Region of Waterloo.,pro-mitigation,unclear,,pro-mitigation
Pay Health Care Students On Placement,unclear,pro-mitigation,unclear,unclear
Support private nurseries through Covid-19,unclear,pro-mitigation,pro-mitigation,pro-mitigation
cancel school due to the water boil order and COVID 19,pro-mitigation,unclear,unclear,unclear
A Twin Crisis- Gentrification & Covid Destroying Black Business In Harlem,anti-mitigation,unclear,unclear,unclear
