text,annotation_64,annotation_61,annotation_62,annotation_63
Yes.  I did.  It said specifically that the extra hour was only for local elections,unclear,unclear,unclear,unclear
"#CoronavirusVaccine #CovidVaccine 

Putin to Everyone rn : https://t.co/NiVqoenzgD",pro-mitigation,pro-mitigation,unclear,unclear
"People are talking about the economy of India and giving their views on it, with no analytical knowledge . It’s lik… https://t.co/NcXEV04ble",unclear,unclear,unclear,unclear
"#CDCGuidelines ignore science, contradict their own collected data: 99.97% of youth under 18 survive Covid without vaccines or masks. #FollowTheScience or turn in your credentials!!! Forcing kids to vax or mask is #ChildAbuse of the worst kind! Shame, shame, shame!",anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
"This... major concern here in the Midwest. We have guidelines. We have the CDC, American Academy of Pediatrics statements. This is not over for parents of young kids. Just because some facilities don’t abide by evidence-based recommendations does not mean it’s okay.",pro-mitigation,unclear,unclear,unclear
"We MUST start putting the pieces together! The CDC is NOT ""revising/expanding"" their ""Guidelines"" because of public outcry &amp; the mass suffering &amp; avoidable deaths that have predictably resulted. They are doing it because it's PART OF THE #NationalPainStrategy Agenda!",anti-mitigation,unclear,unclear,unclear
"The virus is here to stay for at least an year, extending it by 21 days would not have any positive eff… https://t.co/flLnT94XUJ",unclear,unclear,pro-mitigation,unclear
"A mystery illness suffered by a participant has put the largest COVID-19 vaccine trial on hold, drug maker Johnson… https://t.co/eCTUNQtQU9",anti-mitigation,pro-mitigation,pro-mitigation,anti-mitigation
10 Days of Onam names | in kerala https://t.co/A2nX9r7OkB via #onam #kerala #VinayagarChathurthi2020… https://t.co/3W4UjMXeng,unclear,unclear,unclear,unclear
"amazing review and insights from #vaccine experts I highly recommend! 
*cold storage
 *safety issues… https://t.co/Mr4OTUlhga",unclear,pro-mitigation,unclear,unclear
Pretty sure the only people wearing masks right now are the vaccinated people.  The antivaxx people are also anti mask.  The CDC did a terrible job with their new mask guidelines.,unclear,pro-mitigation,anti-mitigation,unclear
These patients are slowly being tortured and then fully tortured when all off the meds. I feel for all the CPP pts may God give them relief soon. The cdc guidelines are changing within a.year. it will be better for cpp.,unclear,unclear,anti-mitigation,unclear
Safety &amp; efficacy of #CovidVaccine must follow science protocols - NOT political pressure. https://t.co/IQ0bDZ6ZU5,pro-mitigation,pro-mitigation,pro-mitigation,unclear
we ask every single person that walks in so we know if they need to wear a mask per CA and CDC guidelines. if they aren't willing to confirm/deny vaccination they are asked to leave. this isn't hard. only in American can a life-saving vaccine be made political. congrats GQP,pro-mitigation,anti-mitigation,pro-mitigation,anti-mitigation
will the sense touch 40k after a #CovidVaccine is released for unregulated sale in India?,unclear,pro-mitigation,unclear,unclear
"I love how all he’s saying is that “I don’t believe in the science of vaccines, the CDC guidelines, or the rest of the country that is aligned with the cdc”",anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
"Health ministry approval Covid vaccine in Russia
#CovidVaccine https://t.co/cc1ha1cYCr",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
