text,annotation_112,annotation_113,annotation_115
Maybe they're pushing this out now to get ahead of/soften the blow the CDC relaxing guidelines for kids in the next week or so?,unclear,unclear,pro-mitigation
"#BiharBjpBigMistakeMenifesto
#BiharElections2020 
#CovidVaccine4EveryIndian
#FreeVaccine
#CovidVaccine
Modi ji,if U… https://t.co/B5EKJgIqsu",unclear,unclear,unclear
The CDC has issued guidelines for who should not get the covid vaccine (along with other vaccines) and they update it frequently. Doctors and their patients can decide together. Many places that are starting to require vaccinations are accepting medical waivers.,pro-mitigation,pro-mitigation,unclear
I love #celgene #coronavirus #CoronaVirus19 #COVID19 #Covid_19 #vaccine #CovidVaccine… https://t.co/DbtCRjVb0s,unclear,unclear,unclear
"So, and    adamantly exercised their right to refuse the #covidvaccine made under Trump, bu… https://t.co/jeyHL5QIRp",anti-mitigation,anti-mitigation,unclear
"In today's Telegraph. Yikes!

#CovidVaccine #COVID19 https://t.co/HcBNGzNoIB",unclear,unclear,unclear
Cdc has been horrible with their guidelines.  They are the reason cases are spiking,anti-mitigation,anti-mitigation,anti-mitigation
"ETHealthworld | Pfizer, BioNTech start combined trials of Covid-19 vaccine candidate in Japan #CovidVaccine… https://t.co/PRJfnWq8Rd",unclear,pro-mitigation,pro-mitigation
"Poll:  Majority of Canadians would get #covidvaccine. 
#ldnont #Toronto 
https://t.co/iXiwDpERip",unclear,pro-mitigation,pro-mitigation
Children under 12 are unable to receive the covid vaccine so they should still wear masks based on the cdc guidelines. Kids aren’t exempt from being infected with &amp; infecting others with covid-19 we will still follow the guidelines for masking indoors and outdoors.,pro-mitigation,pro-mitigation,pro-mitigation
"#PCR Testing IS the smoking gun of the #Covid #debate. 

One MUST understand the importance of the testing threshol… https://t.co/nTdZkf5EBX",unclear,pro-mitigation,unclear
"🗣️ Important update: Beginning tomorrow June 29, masks will no longer be required inside campus buildings for those who are fully vaccinated. If you’re not vaccinated, masks must be worn inside campus buildings, per CDC guidelines. 😷  https://t.co/Adu2usogr6",pro-mitigation,pro-mitigation,pro-mitigation
"Russia develops world‘s first Covid-19 vaccine, Putin‘s daughter gets vaccinated #CovidVaccine #COVID19India 
https://t.co/ue7e6Rlsac",unclear,pro-mitigation,pro-mitigation
"#CovidVaccine 💀
What's the survival rate again...? https://t.co/eq0EksBi4V",anti-mitigation,unclear,unclear
"First batch of RUSSIAN vaccine ready, roll out from August-end, says report (August 17, 2020; 10:46 HKT)… https://t.co/BRTGa7HcNi",unclear,pro-mitigation,pro-mitigation
AstraZeneca Covid-19 vaccine study put on hold due to suspected adverse reaction in participant in the U.K.… https://t.co/cP0s3kp35o,anti-mitigation,unclear,unclear
New CDC Mask Guidelines Explained   https://t.co/i2QAm9SgCB     #CotneyConstructionLaw #RoofersCoffeeShop #RoofingContractors #RoofingIndustry  https://t.co/6tK5U7kMmo,unclear,pro-mitigation,unclear
Not surprised Fauci applauds the AAP recommendation calling it a reasonable thing to do. A move that goes beyond CDC guidelines. 😠  https://t.co/nidwOJKqeh,unclear,anti-mitigation,anti-mitigation
Ima say it ten times over. I ain't taking shit while fed agencies are under thumbs. Y'all have l… https://t.co/Ttzy6jcKZu,unclear,unclear,anti-mitigation
The CDC has issued guidelines for #LongCovid with sound recommendations *A holistic approach *Not relying only on lab tests/imaging to dictate therapy or validate symptoms *Family doctors play a central role     https://t.co/qFEOwT5YXZ  https://t.co/DGv99a5prO,unclear,pro-mitigation,unclear
Dr. Fauci needs to tell CDC to revise the guidelines.,anti-mitigation,pro-mitigation,anti-mitigation
"of which we are Exempt.  Yes. Sickle Cell is EXEMPT from CDC Opioid Guidelines especially,  in real-time situations. Again, the Culture of Cruelty that seems to dictate our care, at work again. #STOPSICKLECELLABUSE",unclear,pro-mitigation,unclear
"Whether it's a warm smile, a welcoming greeting, or helping someone find their way around CCC, our team helps to make you feel welcome! Sign up for our ""Volunteer Appreciation &amp; Vision Night"" on July 15 @ 7pm, at  https://t.co/ayYKbvPWY8. (Photos taken before new CDC guidelines)  https://t.co/BuSmbB86Hr",unclear,pro-mitigation,unclear
"A Tampa federal judge gave a win to Florida and Gov. Ron DeSantis Friday, tossing out COVID-19 CDC cruise ship guidelines, which the State of Florida argued were effectively banning cruises from running  https://t.co/2LVfq8wmFh  https://t.co/c2qBlTOduY",unclear,pro-mitigation,anti-mitigation
Looking forward to the #CovidVaccine or think it's a good idea at all?  Think again and READ THIS 1ST!  Be reminded… https://t.co/guXyDCvJo6,pro-mitigation,unclear,unclear
lol you asked where the masks were and when multiple people told you that US mask mandates were lifted in accordance with CDC guidelines you get salty? what exactly did you want to get out of this exchange?,unclear,unclear,pro-mitigation
"Join Seema Shah, Associate Director of Research Ethics for a free webinar hosted by… https://t.co/zKZl965niI",unclear,unclear,unclear
"does ur super realize that US DOE guidelines require you to prioritize in person learning for the most vulnerable, high risk students using CDC guidance? I hope you all have bothered to read this most basic guidance, but your super’s interview doesn’t sound like it",pro-mitigation,unclear,unclear
Many states like Georgia have voter IDs that are free.,unclear,unclear,unclear
